Motocross Ramp Madness,Announced,,,,,,,10/30/2024,,22/11/2024,"Casual, Driving/Racing",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012451
Project 13: Taxidermy Trails,Announced,,,,,,,10/30/2024,,22/11/2024,Casual,Dolores Entertainment S.L.,,,https://store.playstation.com/en-tr/concept/10012535
AMEDAMA,,,,,,,,10/30/2024,,20/11/2024,Action,"IZANAGIGAMES, Inc.",,,https://store.playstation.com/en-tr/concept/10012559
Predecessor,Free,,,,4.33,6.8k ratings,Add to Library,10/30/2024,PS5,28/3/2024,"Action, Strategy",Omeda Studios Limited,English,,"Chinese (Simplified), English, French (France), German, Italian, Portuguese (Brazil), Spanish (Mexico)",https://store.playstation.com/en-tr/concept/10003763
Farming Simulator 25,"2.099,00 TL",,,,,,Pre-Order,10/30/2024,PS5,12/11/2024,Simulator,GIANTS SOFTWARE GMBH,,,https://store.playstation.com/en-tr/concept/10009612
Touhou Spell Carnival,Announced,,,,,,,10/30/2024,,18/11/2024,Role Playing Games,Reef Entertainment,,,https://store.playstation.com/en-tr/concept/10009134
Shooter of the Arcana,Announced,,,,,,,10/30/2024,,15/11/2024,"Shooter, Action",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012691
Anomaly Agent,Announced,,,,,,,10/30/2024,,15/11/2024,"Action, Action",NAİSU OYUN YAZILIM SANAYİ TİCARET LİMİTED ŞİRKETİ,,,https://store.playstation.com/en-tr/concept/10011310
Smells Like a Mushroom,Announced,,,,,,,10/30/2024,,15/11/2024,"Action, Shooter",FATAL ERROR PUBLISHING LTD.,,,https://store.playstation.com/en-tr/concept/10011281
Zen Drift,Announced,,,,,,,10/30/2024,,14/11/2024,"Casual, Driving/Racing",NOSTRA GAMES LTD,,,https://store.playstation.com/en-tr/concept/10012285
Heretic's Fork,Announced,,,,,,,10/30/2024,,14/11/2024,"Action, Strategy",Ravenage LLC,,,https://store.playstation.com/en-tr/concept/10010510
Little Big Adventure – Twinsen’s Quest PS4 & PS5,"1.049,00 TL",,"944,10 TL","1.049,00 TL",,,Pre-Order,10/30/2024,PS5,13/11/2024,Adventure,Microids,,,https://store.playstation.com/en-tr/concept/10011441
DRAGON QUEST III HD-2D Remake,"2.499,00 TL",,,,,,Pre-Order,10/30/2024,PS5,13/11/2024,Role Playing Games,Square Enix LTD,,,https://store.playstation.com/en-tr/concept/10010018
Flint: Treasure of Oblivion,"1.399,00 TL",,,,,,Pre-Order,10/30/2024,PS5,13/11/2024,Strategy,Microids,,,https://store.playstation.com/en-tr/concept/10007641
LEGO® Horizon Adventures™,"2.499,00 TL",,,,,,Pre-Order,10/30/2024,PS5,13/11/2024,Action,Sony Interactive Entertainment Europe,,,https://store.playstation.com/en-tr/concept/10007722
Songs of Conquest,Announced,,,,,,,10/30/2024,,12/11/2024,Strategy,COFFEE STAIN PUBLISHING AB,,,https://store.playstation.com/en-tr/concept/10008692
Neo Harbor Rescue Squad,,,,,,,,10/30/2024,,12/11/2024,"Adventure, Action",BancyCo,,,https://store.playstation.com/en-tr/concept/10005967
Land of Mushrooms,Announced,,,,,,,10/30/2024,,10/11/2024,"Party, Action, Arcade",SOURCE BYTE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,https://store.playstation.com/en-tr/concept/10010278
