name:,price:,discounted_price:,psn_price:,psn_old_price:,rating:,rating_count:,situation:,Collection Date:,Platform:,Release:,Genres:,Publisher:,Voice:,Screen Languages:,PS5 Voice:,PS5 Screen Languages:,PS4 Voice:,PS4 Screen Languages:,Link:
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,"2.899,99 TL",,Game Trial,,3.32,29k ratings,Add to Cart,31/10/2024,"PS4, PS5",19/9/2024,Sport,EA Swiss Sarl,,,"Arabic, Chinese, Dutch, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico)","Czech, English, Polish, Russian, Turkish","English, French (France)","Czech, English, Polish, Russian, Turkish",https://store.playstation.com/en-tr/concept/10009762
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,"2.799,00 TL",,,,4.02,432k ratings,Add to Cart,31/10/2024,"PS4, PS5",24/10/2024,Action,Activision Blizzard Int'l BV,"English, French (France), German, Italian, Polish, Russian, Spanish","English, French (France), German, Italian, Polish, Russian, Spanish",,,,,https://store.playstation.com/en-tr/concept/10001130
Fortnite,Free,,,,4.32,7m ratings,Add to Library,31/10/2024,PS5,21/7/2017,"Action, Adventure",Epic Games Inc.,"Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish","Arabic, English, French (France), German, Italian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Spanish, Spanish (Mexico), Turkish",,,,,https://store.playstation.com/en-tr/concept/228748
